text,label
The event can also be viewed as a live webcast at www.cargotec.com ,neutral
The combined value of the orders is almost EUR 3mn ,neutral
Managing Director Kari Inkinen says that Sponda 's leasing operations developed highly favourably ,positive
Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 ,negative
"Swedish engineering consultant firm Etteplan is to establish a unit in town Borl+ñnge , by the turn of the month March-April 2008 ",neutral
`` The rest of this week 's tapings of Jimmy Kimmel Live have been canceled until he is back on his feet ,neutral
"Demonstrations of the broad capabilities of the Mobility Business Suite will be organized during the 3GSM World Congress in Barcelona , from February 12th to 15th ",neutral
"- The Group -¦ s profit before taxes was EUR 0,2 7,8 million ",neutral
`` Marimekko aims to expand its distribution network primarily by increasing the number of concept stores and shop-in-shops ,neutral
"`` Our customers now have the chance to make bookings for all the services they want at one location , '' said Mikko Tuomainen , in-charge of Finnair 's Internet ( sales ) ",positive
Finnish logistics and information solutions provider Done Solutions Corporation ( OMX Helsinki : DSO1V ) reported on Wednesday ( 29 October ) an operating profit of EUR3 .6 m on net sales of EUR35 .1 m for the period January-September 2008 ,neutral
Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 ,positive
The company says the measures are no longer needed ,neutral
"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year ",negative
Finnish construction company Lemminkainen Oyj HEL : LEM1S said yesterday that it would build a plastic film extrusion plant for packaging materials supplier Ab Rani Plast Oy at Lemminkainen 's Kaluga industrial park in Russia ,neutral
"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 ",positive
"POYRY PLC Additional information by : Martin Kuzaj , President , Industry Business Group , Finland Tel. +358 10 33 21179 Sanna Paivaniemi , Director , Investor Relations , Poyry PLC , Finland Tel. +358 10 33 23002 Poyry is a global consulting and engineering company dedicated to balanced sustainability ",neutral
"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work ",positive
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT ,neutral
Deliveries have started and the network will be ready for a launch soon ,positive
Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 ,positive
"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas ",positive
Marimekko Group 's full-year net sales are estimated to increase by about 10 % ,positive
"To showcase our end-to-end capabilities at the Mobile World Congress , we arranged an internal MeeGo application development competition to entice developers to create new applications ",neutral
"The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia ",neutral
We offer our customers solutions based on renewable raw materials ,neutral
Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects ,positive
"Digia will also set up two subsidiaries , Digia Norway AS and Digia USA Inc. ",neutral
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn ",positive
Neomarkka has played a leading role in a group that aims to restart the production of specialty cellulose fiber in Valkeakoski ,neutral
Comptel Corporation will publish its financial statements for 2008 on 12 February 2009 ,neutral
"Only the driver was left in the car with the suspect , who was kidnapped and forced at gunpoint to drive to Durham ",negative
"Employing 112 in Finland and 280 abroad , the unit recorded first-quarter 2007 sales of 8.6 mln eur , with an operating loss of 1.6 mln eur ",negative
Satama and Trainers ' House will remain as names and independent brands of the business areas ,neutral
"Metso will provide a recovery boiler with a capacity of 6,800 tonnes of dry solids per day and an evaporation plant with six thermal stages and a capacity of 1,600 tonnes per hour ",neutral
"In the end of 2006 , the number of outlets will rise to 60-70 ",positive
Cargo volume grew by 7 % ,positive
"com , and we are constantly planning new ways to serve our customers online on a more comprehensive basis , '' says Matti Leminen , President of Anttila Oy ",positive
The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running ,negative
"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 ",negative
"On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines ",neutral
A new production line is being completed for the contract production of hormone treatments ,positive
"The airline has ordered nine Airbus A350-900 aircraft with deliveries from 2011 , and in doing so becomes the lead airline for the latest variant of Rolls-Royce Trent series engines , called the 1700 ",positive
Aspokem posted an operating profit of 2.7 mln euro ( $ 3.5 mln ) and net sales of 89.1 mln euro ( $ 116.8 mln ) in 2006 ,neutral
Finnish Civil Aviation Administration decided to temporarily reopen Finnish capital 's Helsinki airport since 3 p.m. to 11 p.m. Monday local time ,neutral
The solid fuel is heated before sludge is mixed therein . ',neutral
"The commission found evidence of several meetings to discuss the cartel , including one in a Brussels restaurant in November 1997 at which the companies discussed price increases ",neutral
`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . ',positive
"Poyry Energy GmbH is Austria 's leading engineering and consulting company in the energy , infrastructure and environment sector , owned by Poyry Plc. and the Austrian Verbund AG ",neutral
"For the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer ",positive
`` We are pleased to deliver the Basware Invoice Automation solution to a major retail company in the US ,positive
Deliveries by Outotec will take place over 30 months ,neutral
Negotiations with representatives of the personnel regarding the restructuring process have now been ended ,neutral
The rebuilds are designed to improve the machines ' performance and product quality ,positive
Donations to universities The Annual General Meeting authorized the Board of Directors to donate max ,neutral
"The huge bridge girders will be delivered to the site from our plant in Ylivieska , Finland ",neutral
"The important thing now is to keep the bank 's existing 15,000 customers ",neutral
Work on the assignment has already started and is due for completion in spring 2011 ,neutral
"( ADP News ) - Jan 22 , 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 ",negative
"Jul. 18 -- Police are looking for a man who they say terrorized three males at gunpoint on East Maple Avenue this afternoon , shooting one of them and kidnapping another ",negative
"For Q2 2010 , consolidated earnings before tax totaled EUR4 .5 m , compared to EUR3 .9 m , and net profit was EUR3 .2 m , compared to EUR2 .9 m in the previous year ",positive
"Finnish IT consultancy Satama Interactive Oyj posted a net profit of 1.4 mln euro $ 2.0 mln for the first nine months of 2007 , compared to a net loss of 462,000 euro $ 664,000 for the same period of 2006 ",positive
The Finnish company has also reached arrangements regarding the working hours and annual holidays ,neutral
"The company is owned by the State of Finland and the European Aeronautic Defense and Space Company EADS N.V. Tekla is an international software company that provides solutions for building and construction , energy distribution and municipalities ",neutral
"The fair value of investment properties totalled EUR 2,299.9 mn , compared to EUR 2,229.5 mn in the corresponding period in 2009 ",positive
The main strength of the cooperation project lies in merging the know-how of two large companies ,positive
`` The combined activities will create value for shareholders and be good for our employees and customers ,positive
"Product deliveries will not be interrupted , the refiner said , giving no financial details ",neutral
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies ",negative
QPR product family is fully compatible with Microsoft 's Windows 7 operating system ,neutral
`` People who enjoy mobile games are often the same customers who enjoy experimenting with new mobile services and content ,neutral
"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team ",neutral
"Protalix closed at $ 10.71 on Friday on the American Stock Exchange , giving a market cap of $ 827 million ",neutral
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan ",neutral
Small investors have voiced fears that the shares will end up with risk investors ,negative
Ulefos Group is the leading supplier of manhole covers in the Nordic countries ,neutral
"The firm 's services include copying , printing , CAD-modelling , digital printing , scanning , SokoPro project bank and courier services ",neutral
`` We were the lowest bidders and now the final approval is awaited . ',positive
"According to Schmardin , Nordea will most likely try to win customers over from other pension fund providers ",positive
"Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 ",neutral
"With five different game modes , co-op tournaments , 4 player split-screen and multiplayer modes , players can have as much fun as they would if they were actually fishing ",neutral
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market ",positive
"A Flurry Analytics spokesperson said that , as it was only measuring Windows Phone 7 data for some weeks , the firm double-checked the data to make sure the 66 per cent rise was not an aberration ",neutral
"The company can not give up palm oil altogether , however ",neutral
"In addition to the presentations held by President & CEO Kai Telanne and CFO Tuomas Itkonen , participants will have an opportunity to discuss with other members of the company 's management ",neutral
It also has potential clients in the growing environmental and recycling technology sectors ,neutral
"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most ",negative
Total two offers were received by Contracting Authority for participating in this contract ; however the contract was allotted to Affecto Finland Oy ,neutral
And Ogden reportedly will shell out $ 4.2 million ,neutral
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn ",positive
These module products will be available for trials during 3Q-07 and for volume deliveries during 4Q-07 ,neutral
"H1 '08 H1 '07 Q2 '08 Q2 '07 in mln euro , unless otherwise stated Net sales 386 328.6 201 160.7 Operating profit 46.3 35.8 23.2 9.5 Pre-tax profit 33.6 26.9 18.7 5.1 Net profit 25.1 25.4 14 4.0 EPS in euro 2.20 2.36 1.24 0.38 1.0 euro = $ 1.60 www.componenta.co",neutral
Investments are not disclosed ,neutral
Protalix has $ 42 million in cash and no sales ,neutral
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 ",positive
The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) ,negative
Both sources said Nokia would unveil its new phone code-named `` Tube '' on Oct. 2 at an analyst and media event in London ,neutral
The firm builds components for mobile phones and other communications products ,neutral
"The Estonian electronic components factory , Elcoteq , is running out of material because of the closure of air traffic ",negative
"The contract includes software licences , application maintenance and training ",neutral
The transaction value is CAD 15 million approximately EUR 10 million ,neutral
"More than 14,000 customers were left powerless ",negative
The Group 's business is balanced by its broad portfolio of sports and presence in all major markets ,neutral
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 ",negative
The value of the orders is over EUR 10mn ,neutral
"` For Nordea , moving into the new headquarters signifies the beginning of a new era ",positive
"Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE ",positive
"`` Following last year 's good profit development , we have entered the current year in a good position ",positive
"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline ",neutral
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later ",neutral
"Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 ",negative
Together they generate Aspo 's goodwill ,neutral
"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said ",positive
The company is studying the feasibility of focusing most of its processed meat production in the Vantaa facilities and the processing of fresh meat in the Forssa facilities ,neutral
"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap ",neutral
"Back then , Tikkurila 's former owner , Finnish chemicals company Kemira Oyj HEL : KRA1V , distributed an 86 % stake to Kemira shareholders to facilitate the divestment and listing of Tikkurila ",neutral
From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor ,neutral
"At the seminar , a memorandum of understanding on co-operation was signed between the Finnish Kemira Company and Vietnam National Chemical Corporation ",positive
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability ,positive
"As an alternative to the share exchange , Panostaja offers a full cash consideration at the value of 1.27 euro $ 1.7 per share ",neutral
"18 May 2010 - Finnish electronics producer Elcoteq SE HEL : ELQAV said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 ",positive
"As reported June 26 , `` both circuits continued to alternately report the track as vacant and then occupied almost constantly from June 17 , when part of the track signaling device was replaced , to the time of the crash , according to the Metro source . '",neutral
Payment of shares shall be effected on subscription ,neutral
Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK ,neutral
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn ,positive
Prices and delivery volumes of broadband products decreased significantly in 2005 ,negative
"Takoma will carry out the transaction by acquiring the entire share capital of Moventas Parkano Oy , which runs the factory in Parkano , southern Finland ",neutral
Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . ',neutral
Full-year operating result for 2008 was 3.6 million negative ,negative
Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland ,negative
"As part of the reorganisation , Pohjola Insurance 's 250 field staff for private customers will join the payroll of local cooperative banks from the beginning of October 2008 ",neutral
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 ,negative
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn ,positive
The deal also includes a ten-year maintenance agreement ,neutral
It is the first application in the market for invoice and purchase requisition approval with a mobile device ,neutral
"As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat ",neutral
"One can even receive on the spot alerts as soon as jobs are posted , putting you at the front of the queue for opportunities ",neutral
"The Tekla Structures product box , if needed , is now made from recycled material ",neutral
Status : Agree,neutral
"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday ",positive
"Viking will pay EUR 130 million for the new ship , which will be completed in January 2008 ",neutral
"Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % ",positive
"`` Each year , personal entertainment plays a more significant role in determining whether a fitness facility 's workout experience is pleasurable or a chore , '' said Brian Wilson , director of marketing for Precor 's Entertainment & Services Division ",neutral
The Finnish textiles and clothing company Marimekko Corporation ( OMX Helsinki : MMO1V ) reported on Wednesday ( 5 November ) an operating profit of EUR8 .1 m on net sales of EUR59m for the period from January to September 2008 ,neutral
Ruukki Group calculates that it has lost EUR 4mn in the failed project ,negative
"wins 98 % acceptance 23 December 2009 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will complete its takeover offer for textile company Tamfelt Oyj Abp ( HEL : TAFKS ) , after acquiring 98 % of its shares and votes ",neutral
Rosen was cautious about being too optimistic inregard to the second half of the year ,neutral
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier ",positive
HELSINKI AFX - Outokumpu said its technology unit has won a 28 mln eur contract from Bosnia-Herzegovina 's Aluminij dd Mostar to upgrade an anode plant ,positive
"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 20",negative
Finnish energy company Fortum has set itself new stricter target limits for short-term carbon dioxide emissions from its heat and electricity production ,neutral
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 ",positive
Incap Corporation Stock Exchange Release 4 May 2010 at 8.30 a.m. INCAP CORPORATION 'S DIRECTED SHARE ISSUE WAS SUBSCRIBED IN FULL The Board of Incap Corporation has approved the subscriptions of directed share issue ,neutral
Metso 's delivery will include a complete coated board line with related air systems and two winders ,neutral
"It currently employs about 750 people and expects headcount to reach 1,000 by end of 2007 ",positive
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households ",neutral
"Finnish construction machinery and equipment rental group Cramo Oyj said on March 21 , 2007 its Swedish sector subsidiary Cramo AB will sell its Dutch subsidiary Cramo Nederland B.V. ( CNL ) to Dutch rental and scaffolding company Jaston Groep B.V. for an undisclosed sum ",neutral
The company 's operating profit for 2006 stood at 39.6 mln euro ( $ 57.9 mln ) ,neutral
Nokia is also negotiating the product portfolio of the new company ,neutral
The Financial Statements and Interim Reports will be released around at 9.00 a.m. ( Finnish time ) on the given dates ,neutral
"Several large stocks tacked lower , however ",negative
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site ,positive
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 ,negative
"The hosting mobile terminal guides information flow between itself , the participating terminals , and optionally , with network servers that may assist the hosting mobile terminal ",neutral
The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry ,neutral
"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial ",neutral
The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) ,neutral
Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 ,neutral
The value of the three-year contract is estimated at EUR40m ,neutral
1 April 2011 - Finnish machinery rental company Ramirent Oyj HEL : RMR1V said today it has acquired the assets of sector player Stavebni Doprava a Mechanizace SDM in the Czech Republic for an undisclosed sum ,neutral
"Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement ",neutral
"Creating interfaces that are more similar to interactions in the real world can enable experiences that are more natural and intuitive , in the same way that modern games and movies are more immersive through the use of realistic 3-D graphics ",neutral
Financial details were n't disclosed ,neutral
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales ,neutral
Finnish plumbing and heating systems supplier Uponor Corporation ( OMX Helsinki : UNR1V ) said on Tuesday ( 12 August ) that its board of directors has authorised the management to proceed with a company-wide cost reduction program ,positive
"The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught ",neutral
"Aldata Solution Oyj Thomas Hoyer CFO More information : Aldata Solution Oyj , Thomas Hoyer , CFO , tel. +358 45 670 0491 Aldata in brief Aldata Solution is one of the global leaders in supply chain software for retail , wholesale and logistics companies ",neutral
The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them ,negative
"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable ",positive
The value of the multi-year agreement is over EUR 2mn a year ,neutral
Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson ,neutral
The layoffs were aimed at reaching an annual savings target of 1.5 billion euros $ 2 billion by the end of 2010 ,positive
The company said it estimates to make a slight profit thanks to cost-cutting measures ,positive
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year ,negative
`` Our approach is very much to only use raw materials that are produced in line with the principles of sustainable development ,neutral
The number of customers is one of the most important parameters in determining the price of electricity networks ,neutral
"To ensure low operational cost for radio networks , the BTS modules can be configured , software upgraded and diagnosed remotely ",positive
Being successful requires providing a level of quality that satisfies our customers and partners ,neutral
"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share ",positive
"On 25 August 2009 , Sampo 's stake in Nordea was 19.45 % ",neutral
`` Demand for sports equipment was good in 2005 ,positive
"Enclosed is Affecto 's call for Extraordinary General Meeting to be held on July 10th where the main agenda is to approve the authorization to the Board for the proposed share issue related to the Component Software acquisition , and to elect Haakon Skaarer to the Affecto board ",neutral
"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed ",negative
"Of course , you 'll have direct access to Nokia 's Ovi store , so you 'll have lots of fun downloading your favorite media ",neutral
"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety ",positive
"The product range includes marinated olives , cold cuts , and pates , for example ",neutral
"Based on the design of previous handsets , the Nokia E72 and Nokia E63 this Symbian-based model is promised to offer direct access to over 90 per cent of the world s corporate email through Mail for Exchange and IBM Lotus Notes Traveler ",neutral
"Cramo Plc is a service company specialising in construction machinery and equipment rental and rental-related services , as well as rental and sale of modular space ",neutral
The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 ,neutral
"Sales are expected to increase in the end of the year 2006 , however ",positive
The total capacity of the factory will be approximately 100 engines a year ,neutral
"The aim of the CEO 's Q&A sessions is to give further clarity on information , which has been made public already earlier ",neutral
The maritime administration said the ships had ignored warnings about the icy conditions ,negative
"Telecom has a foreign investment limit of 74 % , but it appears that mobile VAS does not , which means that Tecnomen can pick up as much as 96.6 % ",neutral
"The construction of a large woodworking facility in the Sheksna district of the Vologda Region , in northwest Russia , will begin in 2009 , and the plant will start production in 2011 ",neutral
"The port operator , however , favors retaining the port fees in 2010 , citing the owner , the governemtn of Estonia , commiting the port to pay EEK 400mn ( EUR 25.56 mn USD 36.44 mn ) in dividends to the state in 2009 and another EEK 300mn in 2010 ",neutral
"The adapter , awarded with the `` Certified Integration for SAP -« ; NetWeaver '' endorsement , integrates Basware s invoice automation and procurement solutions with more than 200 different ERP systems ",positive
"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems ",neutral
"Kone 's factory located at Ayanambakkam , a suburb to the west of Chennai , is a fully integrated facility which gives it the capability to address costs ",positive
"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors ",neutral
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn ,neutral
Pharmaceutical market in Netherlands Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Netherlands ,neutral
Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there ,neutral
Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden ,positive
The presentation material can be viewed on the company 's website in English after the conference ,neutral
"The sellers include 40 shareholders , including Intellibis management , employees and other investors ",neutral
This amount will not be included in the pensionable salary ,neutral
"The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company ",neutral
The shopping center will have a prime location right next to the Myllypuro metro station ,positive
The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management ,positive
"When dialing in , the participants should quote 877417 as conference ID ",neutral
Feed companies Suomen Rehu and Raisio do no import GMO feed ,neutral
"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team ",neutral
"On the following workday customers can check from their home computers how their purchases are divided between different ingredient groups , how much energy various products contain and what is the nutritional content of all purchases ",neutral
"Deliveries are to start later in 2010 , and the volume will increase in the years 2011-2012 ",neutral
The orders are part of a long-term development plan of Latvijas Finieris ,neutral
"MANAVIGATOR-September 7 , 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL : KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 ) ",positive
It was decided that the auditors are reimbursed according to invoice ,neutral
Today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from Fiskars ,neutral
"The most popular mobile data services are email , surfing the internet , as well as news and weather services ",neutral
Talvivaara also maintains its assumption of turning cash flow positive before the year end ,positive
"Finnish pharmaceuticals company Orion reports profit before taxes of EUR 70.0 mn in the third quarter of 2010 , up from EUR 54.9 mn in the corresponding period in 2009 ",positive
The turbines are expected to be launched by the end of 2012 ,neutral
These savings will have full impact as of the beginning of 2007 ,neutral
Earnings per share were higher at 0.48 against 0.37 a year before and ahead of market consensus of 0.40 eur ,positive
"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year ",negative
Sanoma Magazines International will invite other shareholders holding approximately 15 % of the shares to sell their shares ,neutral
"The company said Offshore segment represented 43 % of the total marine engines orders for the July-September 2010 period , Merchant 33 % , Special vessels 18 % , and Cruise and Ferry , and Ship Design -- 2 % and 3 % , respectively ",neutral
"This rating from A.M. Best is the highest among the CIS countries , Central and Eastern Europe ",neutral
- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs ,positive
"According to HKScan Finland , the plan is to increase J+ñrvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn ",positive
"So far the company has awarded more than $ 350,000 worth of tools and materials ",neutral
"The company will also shut one paper machine in Finland and one in Austria , as well as two label paper machines in Finland for up to 10 months , Helsinki-based UPM said yesterday ",neutral
The energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume ,neutral
"Finnish printed circuit boards ( PCBs ) maker Aspocomp Group Oyj said on December 4 , 2006 it named Henry Gilchrist senior vice president of the group 's Asian operations , as of January 8 , 2007 ",neutral
